Название	Год	Ссылка	Оценка
Шарлотта	2015		10
Лига выдающихся джентльменов	2003	http://www.kinopoisk.ru/film/7975/	10
Твое имя	2016	http://www.kinopoisk.ru/film/958722/	10
Девять	2009	http://www.kinopoisk.ru/film/180577/	10
Леон	1994	http://www.kinopoisk.ru/film/389/	10
Корабль-призрак	2002	http://www.kinopoisk.ru/film/5901/	10
Форсаж	2001	http://www.kinopoisk.ru/film/666/	10
Престиж	2006	http://www.kinopoisk.ru/film/195334/	10
7 смертных грехов	2000	http://www.kinopoisk.ru/film/49065/	10
Дум	2005	https://www.kinopoisk.ru/film/84140/	10
Ванпанчмен	2015		10
Фонтан	2006	http://www.kinopoisk.ru/film/81583/	10
Ранго	2011	http://www.kinopoisk.ru/film/426053/	10
Сокровище нации	2004	http://www.kinopoisk.ru/film/61333/	10
Чужой	1979	http://www.kinopoisk.ru/film/386/	10
Город бога	2002	http://www.kinopoisk.ru/film/439/	10
Неудержимые	2010	http://www.kinopoisk.ru/film/432550/	10
Грань будущего	2014	http://www.kinopoisk.ru/film/505851/	10
Одна сотая секунды	2006	http://www.kinopoisk.ru/film/272683/	10
Брестская крепость	2010	http://www.kinopoisk.ru/film/436263/	10
Эффект бабочки	2003	http://www.kinopoisk.ru/film/5167/	10
Интерстеллар	2014	http://www.kinopoisk.ru/film/258687/	10
Миллионер из трущоб	2008	http://www.kinopoisk.ru/film/413362/	10
Двенадцать друзей Оушена	2004	http://www.kinopoisk.ru/film/18294/	10
Реквием по мечте	2000	http://www.kinopoisk.ru/film/367/	10
Команда - А	2010	http://www.kinopoisk.ru/film/96452/	10
Наркоз	2007	http://www.kinopoisk.ru/film/37547/	10
1+1	2011	http://www.kinopoisk.ru/film/535341/	10
Кодекс вора	2008	http://www.kinopoisk.ru/film/395713/	10
Искусственный разум	2001	http://www.kinopoisk.ru/film/594/	10
Форсаж 5	2011	http://www.kinopoisk.ru/film/496943/	10
Шестое чувство	1999	http://www.kinopoisk.ru/film/395/	10
Зеленая миля	1999	http://www.kinopoisk.ru/film/435/	10
Город воров	2010	http://www.kinopoisk.ru/film/462732/	10
Пока не сыграл в ящик	2007	http://www.kinopoisk.ru/film/258885/	10
Обливион	2013	http://www.kinopoisk.ru/film/746470/	10
Мстители	2012	http://www.kinopoisk.ru/film/263531/	10
Три икса	2002	http://www.kinopoisk.ru/film/6032/	10
Остров	2005	http://www.kinopoisk.ru/film/81291/	10
Принц Персии: Пески времени	2010	http://www.kinopoisk.ru/film/195394/	10
28 дней спустя	2002	http://www.kinopoisk.ru/film/577/	10
На грани	2012	http://www.kinopoisk.ru/film/493222/	10
Знамение	2009	http://www.kinopoisk.ru/film/102510/	10
Судьба: Ночь Схватки. Бесконечный мир клинков	2010	http://www.kinopoisk.ru/film/495761/	10
Другие	2001	http://www.kinopoisk.ru/film/494/	10
Загадочная история Бенджамина Баттона	2008	http://www.kinopoisk.ru/film/81555/	10
Лекарь: Ученик Авиценны	2013	http://www.kinopoisk.ru/film/645276/	10
Мстители: Эра Альтрона	2015	http://www.kinopoisk.ru/film/679830/	10
13 привидений	2001	http://www.kinopoisk.ru/film/7639/	10
Рокки Бальбоа	2006	http://www.kinopoisk.ru/film/195273/	10
Звездный путь	2009	http://www.kinopoisk.ru/film/255129/	10
Побег из Шоушенка	1994	http://www.kinopoisk.ru/film/326/	10
Иллюзия обмана	2013	http://www.kinopoisk.ru/film/522892/	10
РЭД	2010	http://www.kinopoisk.ru/film/450237/	10
Трон: Наследие	2010	http://www.kinopoisk.ru/film/399959/	10
Кровавый алмаз	2006	http://www.kinopoisk.ru/film/102376/	10
Сайлент Хилл	2006	http://www.kinopoisk.ru/film/78871/	10
Двадцать одно	2008	http://www.kinopoisk.ru/film/195847/	10
Последний легион	2006	https://www.kinopoisk.ru/film/179292/	10
Игры разума	2001	http://www.kinopoisk.ru/film/530/	10
Смертельная гонка	2008	http://www.kinopoisk.ru/film/102136/	10
Тюряга	1989	http://www.kinopoisk.ru/film/6241/	10
Патэма наоборот	2013	http://www.kinopoisk.ru/film/684131/	10
Остров проклятых	2009	http://www.kinopoisk.ru/film/397667/	10
Девять	2005	http://www.kinopoisk.ru/film/94286/	10
12 лет рабства	2013	http://www.kinopoisk.ru/film/606646/	10
Угнать за 60 секунд	2000	http://www.kinopoisk.ru/film/2011/	10
Обитель зла	2002	http://www.kinopoisk.ru/film/801/	10
Счастливое число Слевина	2005	http://www.kinopoisk.ru/film/86326/	10
Гладиатор	2000	http://www.kinopoisk.ru/film/474/	10
Каратэ-пацан	2010	http://www.kinopoisk.ru/film/412162/	10
Время	2011	http://www.kinopoisk.ru/film/517988/	10
Троя	2004	http://www.kinopoisk.ru/film/3442/	10
Форсаж 4	2009	http://www.kinopoisk.ru/film/395978/	10
Книга Илая	2009	http://www.kinopoisk.ru/film/424266/	9
Марсианин	2015	http://www.kinopoisk.ru/film/841700/	9
Ходячий замок	2004	http://www.kinopoisk.ru/film/49684/	9
На крючке	2008	http://www.kinopoisk.ru/film/387477/	9
Хранители	2009	http://www.kinopoisk.ru/film/252641/	9
Как приручить дракона	2010	http://www.kinopoisk.ru/film/280172/	9
Гран Торино	2008	http://www.kinopoisk.ru/film/408410/	9
Рокки 2	1979	http://www.kinopoisk.ru/film/7275/	9
Царь скорпионов	2002	http://www.kinopoisk.ru/film/3665/	9
V значит Вендетта	2006	http://www.kinopoisk.ru/film/86208/	9
Суррогаты	2009	http://www.kinopoisk.ru/film/397671/	9
Апокалипсис	2006	http://www.kinopoisk.ru/film/160977/	9
Крикуны	1995	http://www.kinopoisk.ru/film/28214/	9
Тринадцать друзей Оушена	2007	http://www.kinopoisk.ru/film/251879/	9
Превосходство Борна	2004	http://www.kinopoisk.ru/film/41947/	9
Рокки 3	1982	http://www.kinopoisk.ru/film/7272/	9
Готика	2003	http://www.kinopoisk.ru/film/3526/	9
Терминатор 2: Судный день	1991	http://www.kinopoisk.ru/film/444/	9
Шерлок Холмс	2009	http://www.kinopoisk.ru/film/420923/	9
Скалолаз	1993	http://www.kinopoisk.ru/film/8164/	9
Перевозчик	2002	http://www.kinopoisk.ru/film/6206/	9
Бой с тенью 2: Реванш	2007	http://www.kinopoisk.ru/film/105013/	9
Звездный десант	1996	http://www.kinopoisk.ru/film/326077/	9
Ультиматум Борна	2007	http://www.kinopoisk.ru/film/87672/	9
Власть огня	2002	http://www.kinopoisk.ru/film/5207/	9
Особое мнение	2002	http://www.kinopoisk.ru/film/496/	9
Рокки 4	1985	http://www.kinopoisk.ru/film/7271/	9
Трансформеры: Эпоха истребления	2014	http://www.kinopoisk.ru/film/651857/	9
Хоббит: Битва пяти воинств	2014	https://www.kinopoisk.ru/film/694633/	9
Призрачный гонщик 2	2012	http://www.kinopoisk.ru/film/391886/	9
Назад в будущее 2	1989	http://www.kinopoisk.ru/film/5502/	9
Блэйд 2	2002	http://www.kinopoisk.ru/film/613/	9
Военный ныряльщик	2000	http://www.kinopoisk.ru/film/751/	9
Рокки 5	1990	http://www.kinopoisk.ru/film/7267/	9
8 миля	2002	http://www.kinopoisk.ru/film/581/	9
Зеркала	2008	http://www.kinopoisk.ru/film/402176/	9
Спуск 2	2009	http://www.kinopoisk.ru/film/417879/	9
Джонни Д.	2009	http://www.kinopoisk.ru/film/400599/	9
Железный человек	2008	http://www.kinopoisk.ru/film/61237/	9
Темный рыцарь: Возрождение легенды	2012	http://www.kinopoisk.ru/film/437410/	9
Девушка с татуировкой дракона	2009	http://www.kinopoisk.ru/film/402099/	9
Правдивая ложь	1994	http://www.kinopoisk.ru/film/2219/	9
БЕРН·И	2008	http://www.kinopoisk.ru/film/433709/	9
Матрица 3: Революция	2003	http://www.kinopoisk.ru/film/316/	9
Чужой 3	1992	http://www.kinopoisk.ru/film/2286/	9
Враг государства	1998	http://www.kinopoisk.ru/film/3954/	9
Земля будущего	2015	http://www.kinopoisk.ru/film/596643/	9
Области тьмы	2011	http://www.kinopoisk.ru/film/462606/	9
Агенты А.Н.К.Л.	2015	http://www.kinopoisk.ru/film/518042/	9
Шестой день	2000	http://www.kinopoisk.ru/film/579/	9
Опасные пассажиры поезда 123	2009	http://www.kinopoisk.ru/film/400582/	9
Парк юрского периода 3	2001	http://www.kinopoisk.ru/film/2982/	9
Сокровище Амазонки	2003	http://www.kinopoisk.ru/film/5412/	9
Тор	2011	http://www.kinopoisk.ru/film/258941/	9
Послезавтра	2004	http://www.kinopoisk.ru/film/2053/	9
Малышка на миллион	2004	http://www.kinopoisk.ru/film/81297/	9
Три дня на побег	2010	http://www.kinopoisk.ru/film/468958/	9
Рассвет мертвецов	2004	http://www.kinopoisk.ru/film/36544/	9
Царь скорпионов 2: Восхождение воинов	2008	http://www.kinopoisk.ru/film/395705/	9
Голодные игры	2012	http://www.kinopoisk.ru/film/468581/	9
Широко шагая	2004	http://www.kinopoisk.ru/film/18102/	9
Неоспоримый 3	2010	http://www.kinopoisk.ru/film/402614/	9
Мальчик в девочке	2006	http://www.kinopoisk.ru/film/195272/	9
Трасса 60	2001	http://www.kinopoisk.ru/film/3563/	9
Титаник	1997	http://www.kinopoisk.ru/film/2213/	9
Война миров	2005	http://www.kinopoisk.ru/film/81289/	9
Страсти Христовы	2004	http://www.kinopoisk.ru/film/3707/	9
Эквилибриум	2002	http://www.kinopoisk.ru/film/309/	9
Первый мститель: Другая война	2014	http://www.kinopoisk.ru/film/676266/	9
Пандорум	2009	http://www.kinopoisk.ru/film/422882/	9
Двойной форсаж	2003	http://www.kinopoisk.ru/film/323/	9
Три метра над уровнем неба	2010	http://www.kinopoisk.ru/film/523362/	9
Исходный код	2011	http://www.kinopoisk.ru/film/409295/	9
Робот по имени Чаппи	2015	http://www.kinopoisk.ru/film/591485/	9
Предложение	2009	http://www.kinopoisk.ru/film/321842/	9
Бой с тенью	2004	https://www.kinopoisk.ru/film/81485/	9
Спуск	2005	http://www.kinopoisk.ru/film/103412/	9
Люси	2014	http://www.kinopoisk.ru/film/760326/	9
Красочный	2010	http://www.kinopoisk.ru/film/535440/	9
Кто я	1996	https://www.kinopoisk.ru/film/24690/	9
Вавилон Н.Э.	2008	http://www.kinopoisk.ru/film/9458/	9
Мальчишник в Вегасе	2009	http://www.kinopoisk.ru/film/426004/	9
Ван Хельсинг	2004	http://www.kinopoisk.ru/film/3491/	9
Невидимка	2000	http://www.kinopoisk.ru/film/5080/	9
Война миров Z	2013	http://www.kinopoisk.ru/film/261636/	9
Кикбоксер	1989	http://www.kinopoisk.ru/film/28131/	9
Тарас Бульба	2009	http://www.kinopoisk.ru/film/161104/	9
Дежа вю	2006	http://www.kinopoisk.ru/film/102328/	9
Чужие	1986	http://www.kinopoisk.ru/film/406/	9
Каникулы строгого режима	2009	http://www.kinopoisk.ru/film/417840/	9
Гравитация	2013	http://www.kinopoisk.ru/film/468466/	9
Скала	1996	http://www.kinopoisk.ru/film/2333/	9
Неоспоримый 2	2006	http://www.kinopoisk.ru/film/102428/	9
Ловцы забытых голосов	2011	http://www.kinopoisk.ru/film/581102/	9
Люди в черном 3	2012	http://www.kinopoisk.ru/film/455773/	9
Вирус	1999	http://www.kinopoisk.ru/film/6219/	9
Семь жизней	2008	http://www.kinopoisk.ru/film/395787/	9
Явление	2008	http://www.kinopoisk.ru/film/279600/	9
Неудержимые 2	2012	http://www.kinopoisk.ru/film/571288/	9
Блэйд	1998	http://www.kinopoisk.ru/film/4554/	9
Пророк	2007	http://www.kinopoisk.ru/film/87789/	9
Нокдаун	2005	http://www.kinopoisk.ru/film/12244/	9
Сказ о розовом зайце	2010	http://www.kinopoisk.ru/film/479698/	9
Пастырь	2011	http://www.kinopoisk.ru/film/258759/	9
Железный человек 3	2013	http://www.kinopoisk.ru/film/462762/	9
Поезд на Юму	2007	http://www.kinopoisk.ru/film/78240/	9
Груз 200	2007	http://www.kinopoisk.ru/film/259251/	9
Хитмэн	2007	http://www.kinopoisk.ru/film/104901/	9
Риддик	2013	http://www.kinopoisk.ru/film/455767/	9
Тор 2: Царство тьмы	2013	http://www.kinopoisk.ru/film/595938/	9
Черная дыра	1999	http://www.kinopoisk.ru/film/785/	9
28 недель спустя	2007	http://www.kinopoisk.ru/film/197615/	9
Я робот	2004	http://www.kinopoisk.ru/film/4886/	9
Живая сталь	2011	http://www.kinopoisk.ru/film/88198/	9
Форрест Гамп	1994	http://www.kinopoisk.ru/film/448/	9
Матрица	1999	http://www.kinopoisk.ru/film/301/	9
Миссия невыполнима	1996	http://www.kinopoisk.ru/film/3961/	9
В погоне за счастьем	2006	http://www.kinopoisk.ru/film/104938/	9
Дневной свет	1996	http://www.kinopoisk.ru/film/5506/	9
Заложница	2007	http://www.kinopoisk.ru/film/276376/	9
Потрошители	2009	http://www.kinopoisk.ru/film/391277/	9
Невероятный Халк	2008	http://www.kinopoisk.ru/film/255380/	9
Бросок кобры	2009	http://www.kinopoisk.ru/film/397496/	9
Человек-Паук	2002	http://www.kinopoisk.ru/film/838/	9
Оружейный барон	2005	http://www.kinopoisk.ru/film/77439/	9
Охота на пиранью	2006	http://www.kinopoisk.ru/film/161141/	9
Тепло наших тел	2013	http://www.kinopoisk.ru/film/497077/	9
Последняя фантазия	2001	http://www.kinopoisk.ru/film/670/	9
Другой мир 3: Восстание ликанов	2008	http://www.kinopoisk.ru/film/258772/	9
Хоббит: Пустошь Смауга	2013	http://www.kinopoisk.ru/film/408876/	9
Семь	1995	http://www.kinopoisk.ru/film/377/	9
Впритык	2010	http://www.kinopoisk.ru/film/464282/	9
Секс и ничего лишнего	2012	http://www.kinopoisk.ru/film/648463/	9
Безумцы	2010	http://www.kinopoisk.ru/film/195870/	9
Блэйд 3: Троица	2004	http://www.kinopoisk.ru/film/22022/	9
Рататуй	2007	http://www.kinopoisk.ru/film/89514/	9
Шоу Трумана	1998	http://www.kinopoisk.ru/film/4541/	9
Паранойя	2007	http://www.kinopoisk.ru/film/252268/	9
Стартрек: Возмездие	2013	http://www.kinopoisk.ru/film/455165/	9
Люди Икс: Дни минувшего будущего	2014	http://www.kinopoisk.ru/film/597687/	9
Терминатор	1984	http://www.kinopoisk.ru/film/507/	9
Властелин колец 2: Две крепости	2002	http://www.kinopoisk.ru/film/312/	9
Ограбление по-итальянски	2003	http://www.kinopoisk.ru/film/318/	9
Пираты семи морей: Черная борода	2006	http://www.kinopoisk.ru/film/256136/	9
Воин	2011	http://www.kinopoisk.ru/film/442568/	9
Терминатор 3: Восстание машин	2003	http://www.kinopoisk.ru/film/319/	9
13-й район	2004	http://www.kinopoisk.ru/film/81522/	9
Аватар	2009	http://www.kinopoisk.ru/film/251733/	9
Питер FM	2006	http://www.kinopoisk.ru/film/252063/	9
Форсаж 6	2013	http://www.kinopoisk.ru/film/594736/	9
Обитель зла 4: Жизнь после смерти	2010	http://www.kinopoisk.ru/film/409208/	9
Фокус	2014	http://www.kinopoisk.ru/film/680824/	9
Бездна	1989	http://www.kinopoisk.ru/film/2342/	9
Большой Стэн	2007	http://www.kinopoisk.ru/film/231150/	9
Обитель зла 2: Апокалипсис	2004	http://www.kinopoisk.ru/film/24186/	9
Планета обезьян	1968	http://www.kinopoisk.ru/film/542/	9
Король Артур	2004	http://www.kinopoisk.ru/film/22138/	9
Близнецы	1988	http://www.kinopoisk.ru/film/4456/	9
Няньки	1994	http://www.kinopoisk.ru/film/18120/	9
G.I. Joe: Бросок кобры 2	2013	http://www.kinopoisk.ru/film/494839/	9
Железный человек 2	2010	http://www.kinopoisk.ru/film/411924/	9
Адвокат дьявола	1997	http://www.kinopoisk.ru/film/3797/	9
Чужой 4: Воскрешение	1998	https://www.kinopoisk.ru/film/3935/	9
Водный мир	1995	http://www.kinopoisk.ru/film/8165/	9
Призрачный гонщик	2007	http://www.kinopoisk.ru/film/3948/	9
Иллюзионист	2005	http://www.kinopoisk.ru/film/102198/	9
Девушка с татуировкой дракона	2011	http://www.kinopoisk.ru/film/491724/	9
Ученик чародея	2010	http://www.kinopoisk.ru/film/429739/	9
Никогда не сдавайся	2008	http://www.kinopoisk.ru/film/311268/	9
Начало	2010	http://www.kinopoisk.ru/film/447301/	9
Пуленепробиваемый монах	2003	https://www.kinopoisk.ru/film/311/	9
Планета обезьян	2001	http://www.kinopoisk.ru/film/4375/	9
Руины	2008	http://www.kinopoisk.ru/film/280177/	9
Хроники Риддика	2004	http://www.kinopoisk.ru/film/5900/	9
Боруто: Наруто. Фильм	2015	http://www.kinopoisk.ru/film/893924/	9
Разрушитель	1993	http://www.kinopoisk.ru/film/4827/	9
Другой мир	2014	http://www.kinopoisk.ru/film/635422/	9
Куб 2: Гиперкуб	2002	http://www.kinopoisk.ru/film/8121/	9
Фантастическая четверка 2: Вторжение Серебряного Серфера	2007	https://www.kinopoisk.ru/film/178557/	9
К-19	2002	http://www.kinopoisk.ru/film/722/	9
Армагеддон	1998	http://www.kinopoisk.ru/film/2941/	9
Незваные	2008	http://www.kinopoisk.ru/film/279129/	9
Пекло	2007	http://www.kinopoisk.ru/film/102245/	9
Унесенные призраками	2001	http://www.kinopoisk.ru/film/370/	9
12 обезьян	1995	http://www.kinopoisk.ru/film/502/	9
Револьвер	2005	http://www.kinopoisk.ru/film/18973/	9
Город грехов 2: Женщина, ради которой стоит убивать	2014	https://www.kinopoisk.ru/film/103391/	9
Фантастическая четверка	2005	http://www.kinopoisk.ru/film/23263/	9
Законопослушный гражданин	2009	http://www.kinopoisk.ru/film/406408/	9
Крестный отец	1972	http://www.kinopoisk.ru/film/325/	9
Шерлок Холмс: Игра теней	2011	http://www.kinopoisk.ru/film/474953/	9
Хеллбой: Герой из пекла	2004	http://www.kinopoisk.ru/film/5052/	9
Кинг Конг	2005	http://www.kinopoisk.ru/film/5908/	9
Другой мир 2: Эволюция	2005	http://www.kinopoisk.ru/film/77441/	9
Из Парижа с любовью	2009	http://www.kinopoisk.ru/film/427202/	9
Заложник смерти	2008	http://www.kinopoisk.ru/film/309424/	9
Сумерки. Сага. Затмение	2010	http://www.kinopoisk.ru/film/432423/	9
Три идиота	2009	http://www.kinopoisk.ru/film/423210/	9
Пятый элемент	1997	http://www.kinopoisk.ru/film/2656/	9
22 пули: Бессмертный	2010	http://www.kinopoisk.ru/film/470658/	9
Халк	2003	http://www.kinopoisk.ru/film/7962/	9
Сахара	2005	http://www.kinopoisk.ru/film/23048/	9
Из машины	2014	http://www.kinopoisk.ru/film/197532/	9
Бумер	2003	http://www.kinopoisk.ru/film/57166/	9
Матрица 2: Перезагрузка	2003	http://www.kinopoisk.ru/film/299/	9
Хищник	1987	http://www.kinopoisk.ru/film/6303/	9
Тихоокеанский рубеж	2013	http://www.kinopoisk.ru/film/546915/	9
Голодные игры: И вспыхнет пламя	2013	http://www.kinopoisk.ru/film/602373/	9
Бумер: фильм второй	2006	http://www.kinopoisk.ru/film/79883/	9
Рокки	1976	http://www.kinopoisk.ru/film/6462/	9
В осаде 2: Территория тьмы	1995	https://www.kinopoisk.ru/film/4580/	8
Пятое измерение	2009	http://www.kinopoisk.ru/film/105397/	8
День независимости	1996	http://www.kinopoisk.ru/film/2022/	8
Красная жара	1988	http://www.kinopoisk.ru/film/2697/	8
Штурм Белого дома	2013	http://www.kinopoisk.ru/film/675649/	8
Мумия	1999	http://www.kinopoisk.ru/film/4484/	8
Васаби	2001	http://www.kinopoisk.ru/film/14288/	8
Боец	2010	http://www.kinopoisk.ru/film/279580/	8
Особенности национальной рыбалки	1997	http://www.kinopoisk.ru/film/40895/	8
Жил-был пес	1981	https://www.kinopoisk.ru/film/45319/	8
Кин-дза-дза!	1986	http://www.kinopoisk.ru/film/44811/	8
Ведьма	2006	http://www.kinopoisk.ru/film/208895/	8
Макс Пэйн	2008	http://www.kinopoisk.ru/film/195608/	8
Рок-н-рольщик	2008	http://www.kinopoisk.ru/film/378140/	8
Крутящий момент	2003	http://www.kinopoisk.ru/film/17659/	8
Бэтмен: Начало	2005	http://www.kinopoisk.ru/film/47237/	8
Прибытие	2016	http://www.kinopoisk.ru/film/718811/	8
Отпетые мошенники	2008	http://www.kinopoisk.ru/film/309402/	8
Пираты Карибского моря: На странных берегах	2011	http://www.kinopoisk.ru/film/427076/	8
Чего хотят женщины	2000	http://www.kinopoisk.ru/film/880/	8
}{отт@бь)ч	2006	https://www.kinopoisk.ru/film/161085/	8
Воздушная тюрьма	1997	http://www.kinopoisk.ru/film/6113/	8
Кошмар на улице Вязов 4: Повелитель снов	1988	http://www.kinopoisk.ru/film/12524/	8
Ежик в тумане	1975	http://www.kinopoisk.ru/film/42461/	8
Гарри Поттер и Дары смерти: Часть 1	2010	http://www.kinopoisk.ru/film/276762/	8
Смокинг	2002	http://www.kinopoisk.ru/film/2930/	8
Сумасшедшая езда	2010	http://www.kinopoisk.ru/film/481523/	8
Глубокое синее море	1999	http://www.kinopoisk.ru/film/9528/	8
Трансформеры	2007	http://www.kinopoisk.ru/film/81288/	8
Вокруг света за 80 дней	2004	http://www.kinopoisk.ru/film/6297/	8
Люди Икс: Первый класс	2011	http://www.kinopoisk.ru/film/462358/	8
12 раундов	2009	http://www.kinopoisk.ru/film/404891/	8
Трансформеры 3: Тёмная сторона Луны	2011	http://www.kinopoisk.ru/film/452899/	8
Смерч	1996	http://www.kinopoisk.ru/film/1722/	8
Добро пожаловать в Zомбилэнд	2009	http://www.kinopoisk.ru/film/427122/	8
Я – Четвертый	2011	http://www.kinopoisk.ru/film/468872/	8
Миссия невыполнима 2	2000	http://www.kinopoisk.ru/film/3447/	8
Терминатор: Да придёт спаситель	2009	http://www.kinopoisk.ru/film/160932/	8
Идентификация Борна	2002	http://www.kinopoisk.ru/film/619/	8
Операция «Ы» и другие приключения Шурика	1965	http://www.kinopoisk.ru/film/42782/	8
Новейший завет	2015	http://www.kinopoisk.ru/film/840470/	8
Эффект бабочки 2	2006	http://www.kinopoisk.ru/film/197258/	8
Социальная сеть	2010	http://www.kinopoisk.ru/film/427198/	8
Санктум	2010	http://www.kinopoisk.ru/film/462669/	8
Вспомнить все	1990	http://www.kinopoisk.ru/film/2443/	8
Орел Девятого легиона	2010	http://www.kinopoisk.ru/film/455353/	8
Стой! Или моя мама будет стрелять	1992	http://www.kinopoisk.ru/film/9556/	8
Крепкий орешек 2	1990	http://www.kinopoisk.ru/film/7374/	8
Ангелы и Демоны	2009	http://www.kinopoisk.ru/film/257401/	8
Последний охотник на ведьм	2015	http://www.kinopoisk.ru/film/506066/	8
Темный рыцарь	2008	http://www.kinopoisk.ru/film/111543/	8
Мальчишник 2: Из Вегаса в Бангкок	2011	http://www.kinopoisk.ru/film/455338/	8
Достучаться до небес	1997	http://www.kinopoisk.ru/film/32898/	8
Эффект бабочки 3	2008	http://www.kinopoisk.ru/film/416537/	8
Женщина-Кошка	2004	http://www.kinopoisk.ru/film/3523/	8
Неудержимые 3	2014	http://www.kinopoisk.ru/film/696813/	8
Дивергент	2014	http://www.kinopoisk.ru/film/582101/	8
Напролом	2011	http://www.kinopoisk.ru/film/496888/	8
Сорвиголова	2003	http://www.kinopoisk.ru/film/648/	8
Гарри Поттер и Тайная Комната	2002	http://www.kinopoisk.ru/film/688/	8
Ларго Винч: Заговор в Бирме	2011	http://www.kinopoisk.ru/film/464606/	8
Обитель зла 3	2007	http://www.kinopoisk.ru/film/88172/	8
Принцесса Мононоке	1997	http://www.kinopoisk.ru/film/441/	8
Голубая лагуна	1980	http://www.kinopoisk.ru/film/32864/	8
Геймер	2009	http://www.kinopoisk.ru/film/325393/	8
Роковое число 23	2007	http://www.kinopoisk.ru/film/178579/	8
Лара Крофт: Расхитительница гробниц	2001	http://www.kinopoisk.ru/film/3950/	8
Нападение на 13-й участок	2004	https://www.kinopoisk.ru/film/77555/	8
Джентльмены удачи	1971	http://www.kinopoisk.ru/film/44386/	8
Царство небесное	2005	http://www.kinopoisk.ru/film/2602/	8
1408	2007	http://www.kinopoisk.ru/film/195563/	8
